Type: 1, Extra Length: 10
Extra Bytes:    5 168 178 144  62 137  43 104  12   0
NumberOfFrames: 100
Id: 121100 U:    1 X:    0 Y:    0 W:   32 H:   32
Id: 121101 U:    1 X:   32 Y:    0 W:   32 H:   32
Id: 121102 U:    1 X:   64 Y:    0 W:   32 H:   32
Id: 121103 U:    1 X:   96 Y:    0 W:   32 H:   32
Id: 121104 U:    1 X:  128 Y:    0 W:   32 H:   32
Id: 121105 U:    1 X:  160 Y:    0 W:   32 H:   32
Id: 121106 U:    1 X:  192 Y:    0 W:   32 H:   32
Id: 121107 U:    1 X:  224 Y:    0 W:   32 H:   32
Id: 121108 U:    1 X:  256 Y:    0 W:   32 H:   32
Id: 121109 U:    1 X:  288 Y:    0 W:   32 H:   32
Id: 121110 U:    1 X:    0 Y:   32 W:   32 H:   32
Id: 121111 U:    1 X:   32 Y:   32 W:   32 H:   32
Id: 121112 U:    1 X:   64 Y:   32 W:   32 H:   32
Id: 121113 U:    1 X:   96 Y:   32 W:   32 H:   32
Id: 121114 U:    1 X:  128 Y:   32 W:   32 H:   32
Id: 121115 U:    1 X:  160 Y:   32 W:   32 H:   32
Id: 121116 U:    1 X:  192 Y:   32 W:   32 H:   32
Id: 121117 U:    1 X:  224 Y:   32 W:   32 H:   32
Id: 121118 U:    1 X:  256 Y:   32 W:   32 H:   32
Id: 121119 U:    1 X:  288 Y:   32 W:   32 H:   32
Id: 121120 U:    1 X:    0 Y:   64 W:   32 H:   32
Id: 121121 U:    1 X:   32 Y:   64 W:   32 H:   32
Id: 121122 U:    1 X:   64 Y:   64 W:   32 H:   32
Id: 121123 U:    1 X:   96 Y:   64 W:   32 H:   32
Id: 121124 U:    1 X:  128 Y:   64 W:   32 H:   32
Id: 121125 U:    1 X:  160 Y:   64 W:   32 H:   32
Id: 121126 U:    1 X:  192 Y:   64 W:   32 H:   32
Id: 121127 U:    1 X:  224 Y:   64 W:   32 H:   32
Id: 121128 U:    1 X:  256 Y:   64 W:   32 H:   32
Id: 121129 U:    1 X:  288 Y:   64 W:   32 H:   32
Id: 121130 U:    1 X:    0 Y:   96 W:   32 H:   32
